index,psnr
1834,4.2554
1835,3.9978
1836,4.6608
1837,4.3733
1838,5.8271
1839,5.2543
1840,6.9239
1841,6.8416
1842,4.8032
1843,5.6771
1844,5.1232
1845,4.1621
1846,3.7466
1847,3.5570
1848,3.6075
1849,3.6431
